2022 Utility Bundled Retail Sales- Commercial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
City of Colorado Springs - (CO);CO;Municipal;35.396;1.105.723;132.562,9;11,99
City of Fort Collins - (CO);CO;Municipal;8.885;478.019;49.943,5;10,45
City of Fort Morgan;CO;Municipal;1.195;138.220;10.296,0;7,45
City of Fountain;CO;Municipal;1.005;78.452;8.655,0;11,03
City of Longmont;CO;Municipal;2.865;340.919;32.750,6;9,61
City of Loveland - (CO);CO;Municipal;4.809;103.622;13.028,6;12,57
Delta Montrose Electric Assn;CO;Cooperative;4.089;138.360;16.158,3;11,68
Empire Electric Assn, Inc;CO;Cooperative;2.897;150.300;15.650,9;10,41
Grand Valley Power;CO;Cooperative;2.128;76.125;9.887,0;12,99
Greenbacker Renewable Energy Corporation;CO;Behind the Meter;31;6.881;346,8;5,04
Greenskies Renewable Energy, LLC;CO;Behind the Meter;1;2.168;79,0;3,64
High West Energy, Inc;CO;Cooperative;19;3.410;380,0;11,14
Highline Electric Assn;CO;Cooperative;1.371;57.190;7.662,0;13,40
Holy Cross Electric Assn, Inc;CO;Cooperative;10.842;519.271;52.885,4;10,18
K C Electric Association;CO;Cooperative;2.534;116.327;14.299,8;12,29
La Plata Electric Assn, Inc;CO;Cooperative;6.760;262.396;32.100,0;12,23
Longroad Energy;CO;Behind the Meter;16;5.530;392,1;7,09
Moon Lake Electric Assn Inc;CO;Cooperative;589;17.796;1.493,7;8,39
Morgan County Rural Elec Assn;CO;Cooperative;1.924;195.335;19.900,5;10,19
Mountain Parks Electric, Inc;CO;Cooperative;3.512;120.798;13.792,0;11,42
Mountain View Elec Assn, Inc;CO;Cooperative;4.209;196.231;24.355,7;12,41
Poudre Valley REA, Inc;CO;Cooperative;4.693;334.419;37.781,2;11,30
Public Service Co of Colorado;CO;Investor Owned;222.440;12.881.968;1.479.282,4;11,48
San Isabel Electric Assn, Inc;CO;Cooperative;2.783;91.238;14.521,3;15,92
San Luis Valley R E C, Inc;CO;Cooperative;1.558;55.499;7.005,0;12,62
San Miguel Power Assn, Inc;CO;Cooperative;2.529;93.602;12.412,0;13,26
Scale Sustainable I, LLC;CO;Behind the Meter;4;251;24,9;9,92
Southeast Colorado Power Assn;CO;Cooperative;2.749;138.680;17.232,0;12,43
Southwestern Electric Coop Inc - (NM);CO;Cooperative;2;29;5,6;19,31
TerraForm US Energy Services, LLC;CO;Behind the Meter;13;1.554;95,0;6,11
Tesla Inc.;CO;Behind the Meter;1.001;21.388;2.083,0;9,74
Tri-County Electric Coop, Inc (OK);CO;Cooperative;39;122;28,9;23,69
United Power, Inc;CO;Cooperative;11.028;605.920;67.240,2;11,10
WAPA-- Western Area Power Administration;CO;Federal;6;49.697;1.308,8;2,63
Wheatland Electric Coop, Inc;CO;Cooperative;29;990;147,1;14,86
White River Electric Assn, Inc;CO;Cooperative;754;30.482;3.478,1;11,41
Y-W Electric Assn Inc;CO;Cooperative;1.565;148.285;15.711,0;10,60
Yampa Valley Electric Assn Inc;CO;Cooperative;4.431;132.578;16.323,3;12,31
