2022 Utility Bundled Retail Sales- Industrial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
Coastal Electric Member Corp;GA;Cooperative;6;188.341;15.690,8;8,33
Cobb Electric Membership Corp;GA;Cooperative;63;148.442;10.808,3;7,28
Colquitt Electric Membership Corp;GA;Cooperative;3.326;324.388;34.567,3;10,66
Coweta-Fayette El Member Corp;GA;Cooperative;59;175.673;13.197,7;7,51
Crisp County Power Comm;GA;Political Subdivision;55;159.417;13.966,0;8,76
Dalton Utilities;GA;Municipal;223;1.889.243;86.018,0;4,55
Diverse Power Incorporated;GA;Cooperative;27;130.616;7.876,6;6,03
Excelsior Electric Member Corp;GA;Cooperative;397;29.797;3.880,8;13,02
Flint Electric Membership Corp;GA;Cooperative;765;182.057;16.769,7;9,21
Georgia Power Co;GA;Investor Owned;10.687;23.851.133;2.206.707,7;9,25
Grady Electric Membership Corp;GA;Cooperative;248;4.161;709,0;17,04
GreyStone Power Corporation;GA;Cooperative;83;461.051;34.043,0;7,38
Hart Electric Member Corp;GA;Cooperative;20;26.117;2.492,0;9,54
Irwin Electric Membership Corp;GA;Cooperative;1.500;39.826;5.844,0;14,67
Jackson Electric Member Corp - (GA);GA;Cooperative;236;786.236;58.109,8;7,39
Jefferson Electric Member Corp;GA;Cooperative;415;112.702;9.294,0;8,25
Newnan Wtr, Sewer & Light Comm;GA;Municipal;1;93.609;8.858,0;9,46
North Georgia Elec Member Corp;GA;Cooperative;31;199.632;14.751,0;7,39
Oconee Electric Member Corp;GA;Cooperative;10;68.828;5.143,8;7,47
Okefenoke Rural El Member Corp;GA;Cooperative;3;27.132;2.496,9;9,20
Planters Electric Member Corp;GA;Cooperative;701;23.485;3.449,5;14,69
Rayle Electric Membership Corp;GA;Cooperative;5;12.051;1.137,0;9,43
Satilla Rural Elec Member Corporation;GA;Cooperative;35;243.210;14.513,0;5,97
Sawnee Electric Membership Corporation;GA;Cooperative;99;223.032;16.503,0;7,40
Snapping Shoals El Member Corp;GA;Cooperative;45;210.887;14.268,6;6,77
Southern Rivers Energy;GA;Cooperative;10;24.371;2.411,0;9,89
Sumter Electric Member Corp;GA;Cooperative;10;30.078;3.170,3;10,54
Three Notch Elec Member Corp;GA;Cooperative;1.048;47.562;8.748,0;18,39
Tri-County Elec Member Corp (GA);GA;Cooperative;14;48.216;4.188,5;8,69
Walton Electric Member Corp;GA;Cooperative;64;312.834;24.199,8;7,74
Washington Elec Member Corp;GA;Cooperative;8;116.723;10.925,9;9,36
Hawaii Electric Light Co Inc;HI;Investor Owned;100;256.893;103.384,3;40,24
Hawaiian Electric Co Inc;HI;Investor Owned;451;2.680.899;964.171,9;35,96
Kauai Island Utility Cooperative;HI;Cooperative;124;149.893;53.635,1;35,78
Maui Electric Co Ltd;HI;Investor Owned;146;357.913;143.685,3;40,15
Access Energy Coop;IA;Cooperative;27;298.164;18.298,4;6,14
Amana Society Service Co;IA;Investor Owned;1;59.440;5.902,0;9,93
Board of Water Electric & Communications;IA;Municipal;14;624.453;37.832,5;6,06
Butler County Rural Elec Coop - (IA);IA;Cooperative;1.195;177.516;16.298,0;9,18
Cedar Falls Utilities;IA;Municipal;252;69.658;6.274,6;9,01
City of Ames - (IA);IA;Municipal;8;157.063;12.390,8;7,89
City of Independence - (IA);IA;Municipal;1;14.469;1.187,0;8,20
City of Maquoketa - (IA);IA;Municipal;2;13.055;1.361,0;10,43
Consumers Energy;IA;Cooperative;15;96.931;6.418,0;6,62
East-Central Iowa Rural Elec Coop;IA;Cooperative;6;30.606;2.303,0;7,52
Eastern Iowa Light & Power Coop;IA;Cooperative;16;195.822;14.078,7;7,19
Federated Rural Electric Assn;IA;Cooperative;4;94;13,0;13,83
Heartland Power Coop;IA;Cooperative;10;173.879;12.792,1;7,36
Interstate Power and Light Co;IA;Investor Owned;1.374;6.428.251;537.437,0;8,36
Iowa Lakes Electric Coop;IA;Cooperative;74;262.044;20.062,5;7,66
Linn County REC;IA;Cooperative;187;157.823;14.004,0;8,87
MiEnergy Cooperative;IA;Cooperative;5;66.731;5.754,1;8,62
MidAmerican Energy Co;IA;Investor Owned;1.577;15.729.635;999.020,5;6,35
Midland Power Coop;IA;Cooperative;23;209.513;15.879,0;7,58
North West Rural Electric Coop;IA;Cooperative;61;7.510;581,6;7,74
Prairie Energy Coop;IA;Cooperative;769;255.403;21.762,6;8,52
Avista Corp;ID;Investor Owned;370;1.183.285;55.146,0;4,66
City of Idaho Falls - (ID);ID;Municipal;6;71.510;3.835,4;5,36
Idaho Power Co;ID;Investor Owned;19.803;5.118.360;363.915,1;7,11
Inland Power & Light Company;ID;Cooperative;3;5;1,5;30,00
Kootenai Electric Cooperative;ID;Cooperative;41;28.202;1.847,4;6,55
Lower Valley Energy Inc;ID;Cooperative;44;48.258;2.410,0;4,99
Northern Lights, Inc;ID;Cooperative;5;30.278;1.661,0;5,49
PacifiCorp;ID;Investor Owned;5.749;2.350.150;170.271,8;7,25
Raft Rural Elec Coop Inc;ID;Cooperative;949;148.033;7.791,0;5,26
Salmon River Electric Coop Inc;ID;Cooperative;122;40.089;2.146,0;5,35
