2022 Utility Bundled Retail Sales- Residential;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
City of Fort Collins - (CO);CO;Municipal;69.552;538.944;64.506,8;11,97
City of Fort Morgan;CO;Municipal;5.870;54.929;3.868,3;7,04
City of Fountain;CO;Municipal;16.795;155.081;19.399,0;12,51
City of Longmont;CO;Municipal;39.986;337.384;37.432,7;11,09
City of Loveland - (CO);CO;Municipal;34.917;275.613;34.426,4;12,49
Delta Montrose Electric Assn;CO;Cooperative;31.618;282.943;41.777,1;14,77
Empire Electric Assn, Inc;CO;Cooperative;12.536;105.840;15.866,1;14,99
Grand Valley Power;CO;Cooperative;16.683;168.748;25.144,0;14,90
Greenbacker Renewable Energy Corporation;CO;Behind the Meter;10;65;6,3;9,69
High West Energy, Inc;CO;Cooperative;674;6.895;1.024,0;14,85
Highline Electric Assn;CO;Cooperative;5.045;57.610;7.405,6;12,85
Holy Cross Electric Assn, Inc;CO;Cooperative;49.312;688.858;83.033,1;12,05
K C Electric Association;CO;Cooperative;3.398;41.665;5.312,1;12,75
La Plata Electric Assn, Inc;CO;Cooperative;39.043;312.611;50.773,0;16,24
Moon Lake Electric Assn Inc;CO;Cooperative;1.552;16.349;1.377,4;8,42
Morgan County Rural Elec Assn;CO;Cooperative;5.743;73.654;9.931,8;13,48
Mountain Parks Electric, Inc;CO;Cooperative;18.260;163.681;23.806,0;14,54
Mountain View Elec Assn, Inc;CO;Cooperative;56.320;609.384;88.750,8;14,56
Poudre Valley REA, Inc;CO;Cooperative;45.837;510.902;60.032,1;11,75
Public Service Co of Colorado;CO;Investor Owned;1.328.979;9.847.574;1.391.226,9;14,13
San Isabel Electric Assn, Inc;CO;Cooperative;22.826;183.552;30.008,8;16,35
San Luis Valley R E C, Inc;CO;Cooperative;8.921;71.218;12.063,0;16,94
